Record ID,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken
207,0x4485,COIMBRES010DEL02,24,4.7,0,2,1,0,4,1,1,1,18
209,0x4565,CHENRES20DEL03,27,4.8,4,1,0,2,3,1,1,1,20
210,0xa453,MUMRES09DEL01,31,4.6,6,0,1,1,4,1,1,1,30
211,0xa6ff,MUMRES03DEL01,30,4.6,0,3,0,1,3,1,1,1,26
212,0x6050,MYSRES16DEL02,34,4.9,4,2,2,1,2,1,1,1,11
213,0x4527,JAPRES07DEL03,31,4.5,3,1,2,0,3,1,1,3,29
214,0xb8dc,MUMRES12DEL02,28,4.9,4,3,0,2,3,1,1,3,17
215,0x9342,CHENRES07DEL02,34,4.9,3,3,1,1,4,0,1,1,23
216,0x4b55,PUNERES15DEL03,22,4.7,0,1,1,2,4,0,1,1,31
217,0xbb46,SURRES20DEL02,30,4.8,0,2,1,3,4,1,1,1,27
218,0xb385,INDORES20DEL01,36,4.3,0,0,2,0,3,2,1,3,39
219,0x604e,JAPRES04DEL03,35,4.6,4,1,0,1,3,1,1,1,26
220,0x8dd1,RANCHIRES12DEL01,38,3.9,1,2,2,3,3,1,1,1,39
221,0xe10e,KOLRES02DEL03,30,4.7,6,3,0,2,3,1,1,1,25
223,0x95eb,PUNERES20DEL02,33,3.6,1,2,1,3,4,1,1,3,36
224,0x9d35,MYSRES010DEL01,31,5,6,1,2,1,3,1,1,1,29
225,0xcc5,PUNERES20DEL03,31,4.9,4,3,1,3,3,1,1,4,20
226,0x41ab,MUMRES09DEL01,27,4.6,0,0,1,3,4,1,1,1,20
227,0x3a6c,JAPRES07DEL02,23,4.8,1,0,2,3,4,0,1,1,34
228,0xe13b,AURGRES010DEL03,25,4.8,6,1,2,1,2,1,1,1,23
229,0x2eac,VADRES18DEL03,37,4.5,6,1,1,0,4,3,1,1,44
230,0x87b3,RANCHIRES13DEL02,28,4.6,2,2,1,0,3,0,1,1,18
231,0x79db,INDORES18DEL02,34,4.7,3,1,1,0,3,1,1,3,33
232,0x9118,RANCHIRES01DEL01,20,4.7,1,2,2,3,2,1,1,1,28
233,0x41c5,MYSRES19DEL02,39,4.9,4,3,0,2,3,0,1,1,38
234,0xd332,KOLRES07DEL03,23,4.1,0,1,2,3,2,0,1,4,36
235,0x4655,CHENRES02DEL03,38,4.4,6,1,1,2,3,1,1,3,32
236,0xad3c,COIMBRES04DEL01,31,3.7,3,3,1,3,4,1,1,1,34
237,0xd6a7,ALHRES14DEL02,36,4.3,6,1,0,2,3,1,1,1,35
238,0xc853,KOLRES01DEL03,30,4.1,0,1,1,1,4,1,1,3,34
239,0xd946,LUDHRES15DEL02,20,4.5,2,1,2,0,4,0,1,3,16
240,0x85b,VADRES05DEL02,31,4.7,2,1,2,0,3,1,1,1,25
241,0x6b58,VADRES01DEL01,33,4.4,1,0,0,2,3,1,1,3,32
242,0xafb9,MUMRES03DEL02,27,4.7,2,3,1,1,3,1,1,1,23
243,0xcc93,LUDHRES09DEL01,31,3.8,1,2,1,0,3,2,1,1,35
244,0x120a,MUMRES13DEL02,31,4.5,1,2,0,0,3,0,1,1,22
245,0x752c,VADRES18DEL03,37,4.6,6,2,1,0,3,1,1,3,20
246,0xc51e,DEHRES17DEL01,38,4.9,0,3,1,2,4,1,1,1,18
247,0x4f58,MYSRES05DEL02,25,4.1,3,2,0,0,3,1,1,3,20
248,0x3647,BANGRES04DEL03,31,4.6,3,1,2,3,3,1,1,1,30
249,0x3aec,RANCHIRES12DEL01,36,4,1,2,0,2,3,1,1,3,39
250,0x62c7,RANCHIRES11DEL03,28,4.7,0,3,1,2,4,0,1,1,10
251,0xaa74,RANCHIRES02DEL01,23,4.7,2,2,2,3,3,1,1,1,12
252,0x4ae8,BANGRES09DEL03,31,4.8,4,3,0,2,3,1,1,1,26
253,0x3c72,VADRES05DEL02,31,4.7,1,2,0,0,3,1,1,1,41
254,0x951d,HYDRES08DEL02,37,4.9,2,2,1,0,3,1,1,3,15
255,0x3ea1,CHENRES13DEL01,32,4.9,2,0,2,2,3,1,1,1,30
256,0x3ea9,BANGRES01DEL03,29,4.9,2,1,0,3,3,1,1,1,25
257,0xa6ea,SURRES17DEL01,32,4.6,1,0,0,3,3,1,1,1,28
258,0xbe2b,HYDRES010DEL02,32,4.9,0,3,2,1,2,2,1,1,39
259,0x20fa,PUNERES08DEL03,27,4.4,0,1,2,3,4,1,1,1,37
260,0x1c22,RANCHIRES19DEL02,39,4.3,3,3,1,0,4,1,1,3,31
261,0x388d,CHENRES05DEL02,39,3.7,6,3,2,0,4,1,1,1,34
262,0x6da0,MYSRES15DEL03,38,4.8,0,1,0,1,3,0,1,1,25
263,0x84ba,INDORES20DEL01,31,4.8,3,0,1,3,3,0,1,1,26
264,0xcda8,KOCRES18DEL03,30,4.5,4,2,2,0,4,1,1,1,20
265,0x3a64,SURRES20DEL02,23,4.9,0,2,1,1,3,0,1,1,16
266,0x4ad1,INDORES14DEL02,33,4.8,4,2,1,2,4,1,1,1,13
267,0x5dda,PUNERES16DEL02,32,5,4,3,0,1,3,0,1,1,21
268,0xb902,HYDRES17DEL02,36,4.6,1,0,2,0,4,1,1,1,30
270,0xa8bb,BANGRES01DEL01,37,4.1,3,0,0,1,3,2,1,1,43
271,0x4999,RANCHIRES13DEL01,39,4.5,3,0,1,1,3,1,1,1,28
272,0x47f2,CHENRES16DEL01,33,4.9,6,2,2,2,2,1,1,3,28
273,0x37be,MUMRES010DEL01,26,4.6,3,3,2,0,3,0,1,1,18
274,0x89b5,BANGRES04DEL01,24,4,3,2,0,1,3,1,1,1,18
275,0x4c4c,MYSRES06DEL03,31,4.7,4,3,2,2,3,1,1,1,17
276,0x50b2,VADRES12DEL03,33,3.7,6,1,1,3,4,1,1,1,33
277,0x3806,MUMRES15DEL02,22,4.8,4,3,2,3,3,0,1,3,10
278,0x2935,COIMBRES16DEL02,29,4.6,0,3,0,0,3,1,1,1,25
279,0x6ffe,MYSRES01DEL03,22,4.9,6,3,0,3,3,0,1,1,24
280,0x2260,MUMRES01DEL02,26,4.7,0,2,0,2,3,0,1,1,20
281,0x234d,PUNERES20DEL03,39,4.9,2,2,2,1,3,1,1,1,27
282,0x22af,BANGRES08DEL03,33,5,0,1,1,1,4,0,1,1,38
283,0x6a5f,MUMRES08DEL02,25,4.9,0,2,1,0,3,0,1,1,14
284,0x8e03,BANGRES05DEL01,38,4.6,6,2,0,1,3,1,1,1,25
285,0xa1d1,INDORES06DEL03,31,4.4,0,1,1,2,3,1,1,1,33
286,0x42eb,MUMRES14DEL02,37,4.8,0,2,1,3,4,1,1,3,15
287,0x2d07,CHENRES16DEL02,23,4.7,0,2,2,0,2,0,1,1,22
288,0xac2e,INDORES19DEL03,35,4.8,6,3,0,0,3,1,1,3,31
289,0x9598,SURRES18DEL02,35,4.5,1,0,0,1,3,1,1,1,29
290,0x8421,INDORES11DEL02,32,4.3,6,2,0,2,3,1,1,1,22
291,0x28bb,HYDRES07DEL02,29,4.9,6,2,2,2,4,1,1,1,19
292,0x49f2,SURRES03DEL01,35,4,4,1,0,1,3,1,1,1,34
293,0x62bf,BANGRES01DEL02,29,4.5,0,2,0,2,3,1,1,1,20
294,0x8218,INDORES06DEL02,21,4.3,3,2,0,0,3,1,1,1,29
295,0x5415,SURRES09DEL01,26,4.8,3,2,1,3,4,0,1,1,18
296,0xa4b3,PUNERES03DEL01,32,4.9,4,0,1,3,3,1,1,1,22
297,0x25ba,INDORES03DEL02,21,4.9,4,3,2,0,2,0,1,3,15
298,0x4484,BANGRES12DEL03,39,4.8,3,3,2,1,2,1,1,3,25
299,0x1c2b,PUNERES12DEL02,32,4.9,6,3,0,2,3,0,1,3,27
300,0x75d2,HYDRES12DEL02,20,4.9,4,2,0,2,3,1,3,1,12
301,0x9f0e,INDORES12DEL01,33,4.7,1,0,0,3,3,0,1,1,34
302,0x7de5,MYSRES19DEL02,38,4.4,2,2,0,3,3,1,1,4,23
303,0x67ec,COIMBRES09DEL03,22,4.8,4,1,2,1,4,1,1,1,17
304,0x755a,INDORES15DEL03,33,4,2,1,0,1,3,1,1,1,31
306,0x32ed,RANCHIRES16DEL02,29,4.7,4,3,1,2,3,0,1,1,15
307,0x8dce,HYDRES14DEL01,34,4.7,4,1,1,3,3,1,1,1,15
308,0xa4f2,PUNERES18DEL01,22,4.5,4,2,0,1,3,1,1,1,23
309,0x8e87,JAPRES15DEL01,21,4.8,2,2,2,1,3,1,1,1,18
310,0xe127,BHPRES18DEL02,36,4.9,1,3,0,3,3,0,1,1,48
311,0x9261,MYSRES06DEL02,30,4.2,0,1,1,0,3,0,1,1,35
312,0xe025,KOLRES17DEL01,37,4.8,3,3,1,2,4,1,1,3,33
313,0x5d59,INDORES14DEL02,37,5,4,1,1,2,3,1,1,3,23
314,0x782a,VADRES08DEL02,31,4.9,0,3,0,2,3,1,1,1,33
315,0x3941,BANGRES05DEL02,28,4.8,2,2,2,2,3,1,1,4,18
316,0x2d2a,COIMBRES01DEL03,30,4.8,3,2,2,3,4,1,1,3,17
317,0xb261,INDORES04DEL01,35,4.9,1,2,2,2,4,1,1,1,30
318,0xc27,VADRES02DEL01,22,4.6,3,2,1,3,4,1,1,3,11
319,0x61e4,SURRES02DEL01,36,4.4,1,3,1,3,3,0,1,1,40
320,0xf5f,MUMRES05DEL03,35,4.3,4,1,0,2,3,1,1,1,33
321,0xa261,MYSRES11DEL03,33,4.8,3,1,1,3,4,1,1,1,31
322,0xd4e7,ALHRES06DEL02,26,4.7,6,1,2,3,4,0,1,3,18
323,0x2a46,MUMRES20DEL03,27,5,3,1,2,0,3,1,1,1,29
324,0xc220,KOCRES09DEL01,31,4.9,6,1,0,3,3,1,1,3,44
325,0x2014,HYDRES11DEL01,35,4.5,0,0,1,2,3,0,1,1,28
326,0x84d6,CHENRES05DEL01,37,4,6,1,0,3,3,1,2,1,47
327,0x1adb,COIMBRES01DEL02,33,4.1,3,3,0,2,3,0,1,1,34
328,0x2779,JAPRES14DEL01,23,4.6,3,3,0,0,3,1,1,1,17
329,0x68b6,JAPRES03DEL01,32,4.8,6,3,0,2,3,1,1,1,33
330,0xbcbc,COIMBRES19DEL02,21,4.7,2,2,1,3,4,1,1,1,18
331,0xc228,AGRRES12DEL03,33,4.6,4,1,1,3,4,0,1,1,21
332,0xa7c,MUMRES12DEL01,27,4.8,6,0,2,0,4,1,1,1,19
333,0x7bd0,MYSRES07DEL01,36,4.7,4,3,1,2,3,0,1,1,16
334,0x439b,VADRES19DEL02,21,4.6,0,2,2,0,4,1,1,3,15
335,0x1138,MYSRES19DEL03,27,4.1,6,1,0,1,3,1,1,1,33
336,0x7427,RANCHIRES010DEL01,30,4.6,3,2,2,1,4,1,1,1,20
